iter	Passed	Remaining
625	4058	2424
626	4061	2416
627	4089	2422
628	4093	2414
629	4114	2416
630	4118	2408
631	4124	2401
632	4141	2401
633	4150	2396
634	4155	2388
635	4176	2390
636	4195	2390
637	4201	2384
638	4214	2380
639	4232	2380
640	4248	2379
641	4253	2371
642	4284	2378
643	4291	2372
644	4305	2369
645	4317	2366
646	4320	2357
647	4335	2355
648	4339	2347
649	4344	2339
650	4347	2330
651	4350	2321
652	4353	2313
653	4362	2308
654	4370	2302
655	4374	2293
656	4376	2285
657	4382	2277
658	4388	2271
659	4391	2262
660	4396	2254
661	4401	2247
662	4406	2239
663	4412	2232
664	4415	2224
665	4417	2215
666	4445	2219
667	4472	2222
668	4481	2217
669	4497	2214
670	4499	2206
671	4502	2197
672	4509	2191
673	4521	2187
674	4525	2178
675	4527	2170
676	4542	2167
677	4547	2159
678	4554	2153
679	4572	2151
680	4574	2142
681	4592	2141
682	4595	2133
683	4613	2131
684	4616	2122
685	4633	2121
686	4646	2117
687	4650	2108
688	4653	2100
689	4656	2092
690	4663	2085
691	4665	2076
692	4668	2068
693	4681	2064
694	4684	2055
695	4695	2050
696	4698	2042
697	4700	2033
698	4711	2028
699	4714	2020
700	4718	2012
701	4725	2005
702	4735	2000
703	4739	1992
704	4742	1984
705	4750	1978
706	4756	1971
707	4759	1962
708	4775	1959
709	4778	1951
710	4792	1948
711	4795	1939
712	4798	1931
713	4804	1924
714	4816	1919
715	4823	1913
716	4827	1905
717	4830	1897
718	4855	1897
719	4858	1889
720	4872	1885
721	4876	1877
722	4878	1869
723	4893	1865
724	4896	1857
725	4906	1851
726	4910	1844
727	4918	1837
728	4923	1830
729	4926	1821
730	4936	1816
731	4939	1808
732	4941	1799
733	4943	1791
734	4948	1784
735	4952	1776
736	4954	1768
737	4967	1763
738	4974	1756
739	4977	1748
740	4979	1740
741	4982	1732
742	4996	1728
743	4999	1720
744	5007	1713
745	5012	1706
746	5015	1698
747	5017	1690
748	5028	1685
749	5031	1677
750	5033	1668
751	5047	1664
752	5052	1657
753	5055	1649
754	5065	1643
755	5070	1636
756	5074	1628
757	5076	1620
758	5080	1613
759	5086	1606
760	5089	1598
761	5091	1590
762	5093	1582
763	5099	1575
764	5102	1567
765	5105	1559
766	5108	1551
